Document,KMeans_Cluster,DBSCAN_Cluster,GMM_Cluster
0,2,0,3
1,2,0,0
2,2,0,0
3,2,0,1
4,2,0,0
5,2,0,1
6,2,0,1
7,2,0,0
8,2,0,0
9,2,0,1
10,2,0,1
11,2,0,0
12,2,0,1
13,2,0,0
14,2,0,1
15,2,0,1
16,2,0,1
17,2,0,1
18,2,0,1
19,2,0,1
20,2,0,1
21,2,0,1
22,2,0,0
23,2,0,0
24,2,0,0
25,2,0,1
26,2,0,0
27,2,0,0
28,2,0,0
29,2,0,0
30,2,0,1
31,2,0,0
32,2,0,0
33,2,0,1
34,2,0,1
35,2,0,1
36,2,0,0
37,2,0,0
38,2,0,1
39,2,0,0
40,2,0,0
41,2,0,0
42,2,0,1
43,2,0,0
44,2,0,1
45,2,0,1
46,2,0,1
47,2,0,0
48,2,0,1
49,2,0,0
50,2,0,1
51,2,0,0
52,2,0,0
53,2,0,0
54,2,0,0
55,2,0,1
56,2,0,0
57,2,0,0
58,2,0,1
59,2,0,1
60,2,0,0
61,2,0,1
62,2,0,0
63,2,0,1
64,2,0,0
65,2,0,0
66,2,0,0
67,2,0,0
68,2,0,1
69,2,0,0
70,2,0,1
71,2,0,1
72,2,0,1
73,2,0,1
74,2,0,0
75,2,0,1
76,2,0,1
77,2,0,1
78,2,0,0
79,2,0,0
80,2,0,0
81,2,0,1
82,2,0,1
83,2,0,0
84,2,0,0
85,2,0,0
86,2,0,1
87,2,0,1
88,2,0,1
89,2,0,1
90,2,0,0
91,2,0,1
92,2,0,0
93,2,0,1
94,2,0,1
95,2,0,1
96,2,0,0
97,2,0,0
98,2,0,1
99,2,0,1
100,2,0,1
101,2,0,0
102,2,0,1
103,2,0,1
104,2,0,0
105,2,0,1
106,2,0,0
107,2,0,0
108,2,0,1
109,2,0,0
110,2,0,1
111,2,0,0
112,2,0,1
113,2,0,1
114,2,0,1
115,2,0,1
116,2,0,1
117,2,0,0
118,2,0,1
119,2,0,1
120,2,0,1
121,2,0,0
122,2,0,0
123,2,0,1
124,2,0,0
125,2,0,0
126,2,0,0
127,2,0,1
128,2,0,1
129,2,0,0
130,2,0,1
131,2,0,1
132,2,0,1
133,2,0,0
134,2,0,1
135,2,0,0
136,2,0,1
137,2,0,0
138,2,0,0
139,2,0,0
140,2,0,0
141,2,0,1
142,2,0,0
143,2,0,0
144,2,0,0
145,2,0,1
146,2,0,0
147,2,0,1
148,2,0,1
149,2,0,0
150,0,0,0
151,0,0,0
152,0,0,1
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,1
165,0,0,1
166,0,0,1
167,0,0,1
168,0,0,1
169,0,0,1
170,0,0,1
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,1
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,1
180,0,0,1
181,0,0,0
182,0,0,1
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,1
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,1
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,1
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,1
203,0,0,0
204,0,0,1
205,0,0,0
206,0,0,0
207,0,0,1
208,0,0,1
209,0,0,1
210,0,0,0
211,0,0,1
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,1
216,0,0,1
217,0,0,1
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,1
226,0,0,0
227,0,0,1
228,0,0,1
229,0,0,0
230,0,0,0
231,0,0,1
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,1
237,0,0,1
238,0,0,1
239,0,0,1
240,0,0,1
241,0,0,1
242,0,0,1
243,0,0,0
244,0,0,1
245,0,0,1
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,1
252,0,0,0
253,0,0,1
254,0,0,1
255,0,0,1
256,0,0,0
257,0,0,1
258,0,0,0
259,0,0,1
260,0,0,0
261,0,0,0
262,0,0,1
263,0,0,0
264,0,0,0
265,0,0,1
266,0,0,1
267,0,0,0
268,0,0,0
269,0,0,0
270,0,0,0
271,0,0,0
272,0,0,0
273,0,0,0
274,0,0,0
275,0,0,0
276,0,0,0
277,0,0,1
278,0,0,0
279,0,0,1
280,0,0,0
281,0,0,0
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,1
287,0,0,1
288,0,0,1
289,0,0,1
290,0,0,1
291,0,0,1
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,1
296,0,0,0
297,0,0,0
298,3,0,0
299,3,0,1
300,3,0,0
301,3,0,0
302,3,0,1
303,3,0,0
304,3,0,1
305,3,0,1
306,3,0,1
307,3,0,0
308,3,0,1
309,3,0,0
310,3,0,1
311,3,0,1
312,3,0,1
313,3,0,0
314,3,0,0
315,3,0,1
316,3,0,1
317,3,0,0
318,3,0,0
319,3,0,0
320,3,0,1
321,3,0,0
322,3,0,1
323,3,0,1
324,3,0,0
325,3,0,0
326,3,0,0
327,3,0,0
328,3,0,1
329,3,0,0
330,3,0,0
331,3,0,1
332,3,0,0
333,3,0,0
334,3,0,1
335,3,0,0
336,3,0,1
337,3,0,0
338,3,0,1
339,3,0,1
340,3,0,1
341,3,0,0
342,3,0,1
343,3,0,0
344,3,0,0
345,3,0,0
346,3,0,1
347,3,0,0
348,3,0,1
349,3,0,1
350,3,0,0
351,3,0,1
352,3,0,0
353,3,0,0
354,3,0,1
355,3,0,1
356,3,0,0
357,3,0,0
358,3,0,1
359,3,0,0
360,3,0,1
361,3,0,0
362,3,0,1
363,3,0,0
364,3,0,0
365,3,0,1
366,3,0,0
367,3,0,1
368,3,0,0
369,3,0,0
370,3,0,1
371,3,0,1
372,3,0,0
373,3,0,0
374,3,0,0
375,3,0,1
376,3,0,0
377,3,0,0
378,3,0,1
379,3,0,0
380,3,0,0
381,3,0,0
382,3,0,1
383,3,0,0
384,3,0,0
385,3,0,0
386,3,0,0
387,3,0,1
388,3,0,1
389,3,0,0
390,3,0,0
391,3,0,0
392,3,0,0
393,3,0,1
394,3,0,0
395,3,0,0
396,3,0,0
397,3,0,0
398,3,0,1
399,3,0,0
400,3,0,0
401,3,0,1
402,3,0,0
403,3,0,0
404,3,0,1
405,3,0,0
406,3,0,0
407,3,0,1
408,3,0,1
409,3,0,1
410,3,0,0
411,3,0,0
412,3,0,1
413,3,0,0
414,3,0,0
415,3,0,1
416,3,0,0
417,3,0,0
418,3,0,0
419,3,0,1
420,3,0,1
421,3,0,0
422,3,0,1
423,3,0,0
424,3,0,1
425,3,0,0
426,3,0,0
427,3,0,1
428,3,0,1
429,3,0,1
430,3,0,0
431,3,0,0
432,3,0,0
433,3,0,1
434,3,0,0
435,3,0,1
436,3,0,0
437,3,0,0
438,3,0,0
439,3,0,1
440,3,0,1
441,3,0,1
442,3,0,0
443,3,0,0
444,3,0,1
445,1,0,1
446,1,0,1
447,1,0,0
448,1,0,0
449,1,0,0
450,1,0,0
451,1,0,0
452,1,0,1
453,1,0,0
454,1,0,0
455,1,0,1
456,1,0,1
457,1,0,1
458,1,0,0
459,1,0,0
460,1,0,0
461,1,0,1
462,1,0,1
463,1,0,1
464,1,0,0
465,1,0,1
466,1,0,0
467,1,0,1
468,1,0,0
469,1,0,1
470,1,0,0
471,1,0,0
472,1,0,0
473,1,0,0
474,1,0,1
475,1,0,1
476,1,0,1
477,1,0,1
478,1,0,0
479,1,0,0
480,1,0,0
481,1,0,1
482,1,0,0
483,1,0,1
484,1,0,0
485,1,0,1
486,1,0,1
487,1,0,0
488,1,0,1
489,1,0,0
490,1,0,0
491,1,0,1
492,1,0,0
493,1,0,1
494,1,0,0
495,1,0,1
496,1,0,1
497,1,0,0
498,1,0,0
499,1,0,0
500,1,0,1
501,1,0,1
502,1,0,0
503,1,0,0
504,1,0,0
505,1,0,1
506,1,0,0
507,1,0,1
508,1,0,1
509,1,0,1
510,1,0,0
511,1,0,1
512,1,0,0
513,1,0,0
514,1,0,1
515,1,0,0
516,1,0,0
517,1,0,1
518,1,0,0
519,1,0,0
520,1,0,0
521,1,0,0
522,1,0,0
523,1,0,1
524,1,0,0
525,1,0,0
526,1,0,1
527,1,0,0
528,1,0,0
