Document,KMeans_Cluster,DBSCAN_Cluster,GMM_Cluster
0,1,0,1
1,1,0,3
2,1,0,0
3,1,0,0
4,1,0,3
5,1,0,0
6,1,0,0
7,1,0,3
8,1,0,0
9,1,0,3
10,1,0,0
11,1,0,0
12,1,0,0
13,1,0,3
14,1,0,0
15,1,0,0
16,1,0,0
17,1,0,0
18,1,0,0
19,1,0,0
20,1,0,0
21,1,0,0
22,1,0,0
23,1,0,3
24,1,0,3
25,1,0,0
26,1,0,3
27,1,0,0
28,1,0,3
29,1,0,3
30,1,0,0
31,1,0,3
32,1,0,3
33,1,0,3
34,1,0,0
35,1,0,0
36,1,0,3
37,1,0,3
38,1,0,0
39,1,0,3
40,1,0,0
41,1,0,3
42,1,0,0
43,1,0,0
44,1,0,0
45,1,0,0
46,1,0,3
47,1,0,3
48,1,0,0
49,1,0,3
50,1,0,0
51,1,0,3
52,1,0,0
53,1,0,3
54,1,0,3
55,1,0,3
56,1,0,3
57,1,0,0
58,1,0,0
59,1,0,0
60,1,0,3
61,1,0,0
62,1,0,3
63,1,0,0
64,1,0,0
65,1,0,3
66,1,0,3
67,1,0,0
68,1,0,0
69,1,0,3
70,1,0,3
71,1,0,0
72,1,0,0
73,1,0,0
74,1,0,3
75,1,0,0
76,1,0,0
77,1,0,0
78,1,0,0
79,1,0,3
80,1,0,3
81,1,0,3
82,1,0,0
83,1,0,3
84,1,0,3
85,1,0,3
86,1,0,0
87,1,0,0
88,1,0,0
89,1,0,0
90,1,0,3
91,1,0,3
92,1,0,0
93,1,0,0
94,1,0,0
95,1,0,0
96,1,0,3
97,1,0,3
98,1,0,0
99,1,0,0
100,1,0,0
101,1,0,3
102,1,0,0
103,1,0,0
104,1,0,3
105,1,0,0
106,1,0,3
107,1,0,3
108,1,0,0
109,1,0,3
110,1,0,0
111,1,0,3
112,1,0,0
113,1,0,0
114,1,0,0
115,1,0,0
116,1,0,0
117,1,0,3
118,1,0,0
119,1,0,0
120,1,0,0
121,1,0,3
122,1,0,3
123,1,0,0
124,1,0,0
125,1,0,3
126,1,0,3
127,1,0,3
128,1,0,0
129,1,0,3
130,1,0,0
131,1,0,0
132,1,0,0
133,1,0,3
134,1,0,0
135,1,0,3
136,1,0,3
137,1,0,0
138,1,0,3
139,1,0,0
140,1,0,3
141,1,0,0
142,1,0,3
143,1,0,3
144,1,0,3
145,1,0,0
146,1,0,0
147,1,0,0
148,1,0,0
149,1,0,3
150,3,0,3
151,3,0,3
152,3,0,0
153,3,0,3
154,3,0,3
155,3,0,0
156,3,0,3
157,3,0,3
158,3,0,3
159,3,0,3
160,3,0,3
161,3,0,0
162,3,0,3
163,3,0,3
164,3,0,0
165,3,0,0
166,3,0,0
167,3,0,0
168,3,0,3
169,3,0,3
170,3,0,3
171,3,0,0
172,3,0,3
173,3,0,3
174,3,0,0
175,3,0,3
176,3,0,3
177,3,0,0
178,3,0,3
179,3,0,0
180,3,0,0
181,3,0,0
182,3,0,0
183,3,0,3
184,3,0,3
185,3,0,3
186,3,0,0
187,3,0,0
188,3,0,3
189,3,0,3
190,3,0,3
191,3,0,0
192,3,0,0
193,3,0,3
194,3,0,3
195,3,0,3
196,3,0,3
197,3,0,0
198,3,0,3
199,3,0,3
200,3,0,3
201,3,0,0
202,3,0,0
203,3,0,0
204,3,0,0
205,3,0,3
206,3,0,3
207,3,0,0
208,3,0,0
209,3,0,0
210,3,0,3
211,3,0,3
212,3,0,0
213,3,0,3
214,3,0,3
215,3,0,3
216,3,0,0
217,3,0,0
218,3,0,0
219,3,0,3
220,3,0,3
221,3,0,3
222,3,0,3
223,3,0,3
224,3,0,0
225,3,0,3
226,3,0,3
227,3,0,0
228,3,0,3
229,3,0,0
230,3,0,3
231,3,0,3
232,3,0,3
233,3,0,3
234,3,0,3
235,3,0,3
236,3,0,0
237,3,0,3
238,3,0,0
239,3,0,0
240,3,0,0
241,3,0,0
242,3,0,3
243,3,0,3
244,3,0,0
245,3,0,0
246,3,0,0
247,3,0,3
248,3,0,3
249,3,0,3
250,3,0,3
251,3,0,0
252,3,0,0
253,3,0,3
254,3,0,0
255,3,0,0
256,3,0,3
257,3,0,0
258,3,0,3
259,3,0,3
260,3,0,3
261,3,0,3
262,3,0,3
263,3,0,3
264,3,0,3
265,3,0,0
266,3,0,0
267,3,0,3
268,3,0,3
269,3,0,3
270,3,0,0
271,3,0,3
272,3,0,3
273,3,0,3
274,3,0,3
275,3,0,3
276,3,0,3
277,3,0,0
278,3,0,0
279,3,0,0
280,3,0,3
281,3,0,3
282,3,0,3
283,3,0,3
284,3,0,0
285,3,0,3
286,3,0,0
287,3,0,0
288,3,0,0
289,3,0,0
290,3,0,0
291,3,0,0
292,3,0,3
293,3,0,3
294,3,0,0
295,3,0,0
296,3,0,3
297,3,0,3
298,2,0,3
299,2,0,3
300,2,0,0
301,2,0,3
302,2,0,0
303,2,0,3
304,2,0,0
305,2,0,0
306,2,0,0
307,2,0,0
308,2,0,3
309,2,0,3
310,2,0,0
311,2,0,0
312,2,0,3
313,2,0,3
314,2,0,3
315,2,0,3
316,2,0,0
317,2,0,3
318,2,0,3
319,2,0,0
320,2,0,0
321,2,0,0
322,2,0,3
323,2,0,0
324,2,0,3
325,2,0,3
326,2,0,3
327,2,0,3
328,2,0,0
329,2,0,3
330,2,0,3
331,2,0,0
332,2,0,3
333,2,0,3
334,2,0,3
335,2,0,3
336,2,0,0
337,2,0,3
338,2,0,0
339,2,0,0
340,2,0,0
341,2,0,3
342,2,0,0
343,2,0,0
344,2,0,3
345,2,0,3
346,2,0,0
347,2,0,0
348,2,0,0
349,2,0,0
350,2,0,3
351,2,0,3
352,2,0,3
353,2,0,0
354,2,0,0
355,2,0,0
356,2,0,3
357,2,0,0
358,2,0,0
359,2,0,0
360,2,0,0
361,2,0,3
362,2,0,0
363,2,0,3
364,2,0,3
365,2,0,0
366,2,0,3
367,2,0,0
368,2,0,3
369,2,0,0
370,2,0,0
371,2,0,0
372,2,0,3
373,2,0,3
374,2,0,0
375,2,0,0
376,2,0,3
377,2,0,3
378,2,0,0
379,2,0,0
380,2,0,0
381,2,0,3
382,2,0,0
383,2,0,3
384,2,0,3
385,2,0,3
386,2,0,3
387,2,0,0
388,2,0,0
389,2,0,3
390,2,0,3
391,2,0,3
392,2,0,3
393,2,0,0
394,2,0,3
395,2,0,3
396,2,0,3
397,2,0,3
398,2,0,0
399,2,0,3
400,2,0,3
401,2,0,0
402,2,0,3
403,2,0,3
404,2,0,0
405,2,0,3
406,2,0,3
407,2,0,0
408,2,0,0
409,2,0,0
410,2,0,3
411,2,0,3
412,2,0,3
413,2,0,3
414,2,0,3
415,2,0,0
416,2,0,3
417,2,0,3
418,2,0,0
419,2,0,0
420,2,0,0
421,2,0,3
422,2,0,0
423,2,0,3
424,2,0,0
425,2,0,3
426,2,0,3
427,2,0,0
428,2,0,0
429,2,0,0
430,2,0,3
431,2,0,0
432,2,0,0
433,2,0,0
434,2,0,3
435,2,0,0
436,2,0,3
437,2,0,3
438,2,0,3
439,2,0,0
440,2,0,0
441,2,0,3
442,2,0,3
